path,label
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000000_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000001_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000002_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000003_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000004_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000005_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000006_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000007_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000008_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000009_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000010_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000011_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000012_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000013_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000014_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000015_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000016_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000017_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000018_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000019_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000020_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000021_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000022_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000023_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000024_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000025_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000026_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000027_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000028_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000029_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000030_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000031_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000032_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000033_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
/mnt/beegfs/home/dzimmerman2021/Documents/fathomnet/augment_dataset/rois/000034_Abyssocucumis_abyssorum.png,Abyssocucumis abyssorum
